2.6,2.9,4.2,17.8,23.7,25.9,36,37.5,41.2,42.5,43.2,113.7,143.7,149.4,163.3,363.3,1600,-1,15,13,7,8,14,9,12,11,16,6,1,5,4,2,3,10
2.3,5.4,5.5,8.300000000000001,8.4,13.5,21.2,30,48.8,64.59999999999999,96.2,141.6,168.7,261.3,267.8,300.3,1400,-1,9,5,2,10,13,16,12,4,1,11,8,6,15,3,14,7
3.2,4,4.7,6.3,8.5,16,25,40.9,45.4,51.2,82.09999999999999,106.6,236,262.9,336.2,388,1800,1,9,3,14,5,6,18,10,8,4,16,11,15,1,2,7,12
3.1,3.7,7.7,7.9,10.5,12.8,14.1,23.2,31.8,33.9,61.4,68.3,101.1,109.8,111.7,282.8,1400,-1,11,12,10,16,13,6,5,9,4,14,1,3,2,7,15,8
2.5,4.8,5.6,7.9,8,14.1,15.2,32.8,53.7,103.9,116.9,122.7,208.9,256.4,423.4,431.2,1600,-1,16,12,5,15,6,10,7,8,4,13,11,1,14,9,3,2
1.7,5.7,6.4,9.9,13,19.8,40.1,48.2,50.1,57.4,71.90000000000001,81.09999999999999,149.9,169.2,179.7,304.9,1400,1,12,10,14,17,16,15,6,9,2,11,8,5,3,7,13,18
3.7,4.7,5.1,7.1,8,10.1,24.4,26.3,29.7,35.2,41.7,56.1,70.40000000000001,162,189.8,254.1,1600,-1,11,1,16,10,12,4,13,6,7,14,9,3,15,5,2,8
3,5,7,9.6,11.4,12.6,13.2,15,24,25.7,35,76.2,77.59999999999999,130.2,138,147.4,1800,1,2,4,11,15,16,18,13,3,7,6,5,1,10,12,9,14
3.5,3.8,4,5.5,11.7,16.6,21.3,57.8,70,89.8,104,155.4,159.4,175.1,268.6,274.5,2400,1,1,8,3,12,10,14,5,13,7,9,18,4,11,2,15,6
3.9,4.9,8.5,9.1,10.6,11.6,12.4,12.5,15.6,24.1,25.1,39.8,43.8,55.7,85.59999999999999,133.2,1400,-1,14,4,8,11,5,1,7,6,2,3,9,12,13,15,10,16
2.7,6.4,6.8,8.300000000000001,13.6,17.1,17.5,18.4,28.8,32.1,34.5,36.3,36.8,41.9,44.1,57.9,2500,1,6,15,16,5,13,3,9,10,18,12,8,1,2,14,11,4
2.4,5.3,5.6,11.4,12.7,13.4,24.1,25.2,25.4,26.8,40,48.5,76.09999999999999,86.09999999999999,105.3,266.8,1400,-1,3,13,5,12,14,8,2,7,4,1,11,16,9,15,6,10
1.9,4.2,7.6,8.5,14.5,18.1,21.9,42.7,64.40000000000001,83.7,107.7,293.9,314.9,329,434.8,487.7,2400,1,10,4,3,16,13,2,12,5,8,6,14,18,9,7,17,15
3.3,3.6,6.8,8.6,8.699999999999999,12.5,18.7,20.3,23.2,57.6,66,89.90000000000001,105.6,178.1,179.8,255,1800,1,16,4,14,5,8,15,1,6,3,18,11,13,7,2,9,12
2.4,3.9,5.2,9.5,15.5,17.8,27.1,29.9,42.4,42.6,65.09999999999999,75.59999999999999,88.7,165.3,183.5,402.2,1800,-1,10,2,3,8,14,6,12,15,9,1,4,13,5,11,16,7
2.2,5,9.800000000000001,10.2,15.5,17.3,18,27.6,32,32.1,35.6,40.6,50.8,52.9,65.09999999999999,88.2,1400,1,15,12,2,6,18,4,7,5,17,1,9,14,10,8,3,16
2,7.1,7.5,9.6,14.8,16.8,18.5,22.3,22.4,34,39.4,54.8,69.3,112.7,133.3,134.4,1800,-1,4,5,13,16,7,2,3,11,10,1,15,9,8,14,6,12
